tofpet_id,channel,masked,meas_mode,g_t,g_e,g_q,trig_t,trig_q,trig_e,trig_b,do_t1_delay
0,0,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,1,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,2,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,3,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,4,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,5,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,6,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,7,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,8,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,9,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,10,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,11,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,12,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,13,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,14,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,15,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,16,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,17,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,18,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,19,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,20,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,21,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,22,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,23,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,24,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,25,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,26,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,27,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,28,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,29,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,30,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,31,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,32,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,33,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,34,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,35,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,36,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,37,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,38,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,39,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,40,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,41,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,42,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,43,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,44,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,45,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,46,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,47,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,48,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,49,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,50,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,51,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,52,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,53,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,54,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,55,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,56,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,57,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,58,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,59,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,60,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,61,1,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,62,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
0,63,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,0,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,1,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,2,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,3,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,4,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,5,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,6,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,7,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,8,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,9,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,10,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,11,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,12,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,13,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,14,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,15,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,16,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,17,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,18,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,19,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,20,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,21,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,22,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,23,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,24,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,25,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,26,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,27,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,28,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,29,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,30,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,31,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,32,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,33,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,34,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,35,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,36,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,37,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,38,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,39,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,40,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,41,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,42,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,43,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,44,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,45,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,46,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,47,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,48,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,49,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,50,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,51,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,52,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,53,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,54,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,55,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,56,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,57,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,58,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,59,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,60,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,61,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,62,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
1,63,0,qdc,3000,300,1_00,t1_and_t2,t2,not_e,t1_or_t2_or_e,6_ns
